数据分析,特殊陶业实业（上海）有限公司,"1、对销售业务各节点的数据进行收集、统计
2、了解业务流程，对数据进行多维度的整理分析
3、通过分析报告，提供优化运营方案
4、支持业务系统管理工作

岗位要求：
1、本科学历，数学类专业优先考虑
2、2-3年数据分析相关工作经验，大数据处理能力较强，熟练使用excel工具
3、熟悉汽车行业或互联网关联领域者优先
职能类别：
数据分析师
关键字：
数据处理大数据数据分析师
微信分享","特殊陶业实业（上海）有限公司由日本特殊陶业株式会社100%独资，日本特殊陶业创建于1936年，以一流的技术和丰富的经验，向全世界人们传达新的价值，以让人信赖的品质锐意前行。旗下两大品牌NGK火花塞和NTK精密陶瓷不断突破技术挑战，强强联手，成为汽车售后市场的佼佼者，受到了世界各大著名汽车厂商及终端车主的信赖和喜爱。为了不断的满足市场对产品全方位的需求，特殊陶业力争为汽车后市场提供产品阵容更丰富、产品型号覆盖率更高、产品性能更佳的汽车零部件产品。

公司方针：非凡企业，创变由我！
成立：2015年8月27日
注册资金：2千万***
经营业务：1.火花塞及汽车用传感器等汽车零配件相关的市场营销和技术服务
          2.销售机械工具及其他陶瓷产品及处理各种商品的进出口业务
          3.中国区业务总部。
雇员：270名（至2019年9月）(含15名日本特殊陶IZ外派人员及90名各分公司人员）
分公司：长春分公司、北京分公司、重庆分公司、广州分公司、深圳分公司。"
数据分析专员（周末双休，五险一金）,湖南云豹电子商务有限公司,"岗位职责：
1.通过对店铺的数据统计，发现数据中的问题，及时反馈；
2.分析竞争对手，竞品数据链接，为团队提供执行可用的数据支持，结合行业发展和数据分析提供经营策略建议；
3.负责付费推广策略，制定推广计划，合理控制费用；
4.协助部门领导，对其他运营人员的数据处理工作进行指导；
5.根据市场业务变化需求，实时与技术部人员反馈新增数据看板内容；
6.完成领导交办的其他工作内容。
任职要求：
1.1年及以上同岗位数据及预算管理工作经历、本科及以上学历；
2.数学专业
3.能熟练使用excel、word、ppt等办公软件；
4.对数字敏感性强，有较强的数据分析能力。
5.具备严密的逻辑思维能力，良好的沟通、表达和协调能力；

我们能为您提供:
1、薪 酬：无责任底薪+提成+全勤奖+年终奖，拥有在行业内领先的薪资及激励机制；
2、晋升通道：公司关注和重视人才成长，只要你有能力，就可以成为项目的合伙人，拥有更多的个人成长机会，薪酬匹配能力！
3、社会保险+住房公积金：公司依法为员工缴纳五险（医疗保险、养老保险、失业保险、工伤保险、生育保险）；
4、假期规定：周末双休，另外享有国家规定的法定节假日及带薪年假、婚假、产假、带薪病假、慰唁假等假期
5、轻松舒适的办公环境，团队年轻有活力，充满激情！

职能类别：
数据分析师
关键字：
数据分析处理统计亚马逊电商
微信分享","      湖南云豹电子商务有限公司于 2014 年8月在中国长沙成立，2018 年5月正式进入跨境电商行业，2019年成立深圳分公司；是一家依托跨境平台，利用社交媒体和网红促进客户联系，连接优质内容和产品，实现货物全球流通的跨境电子商务公司。通过独立站、电商平台，主营3C、家居厨房、汽配、户外运动类目，协助品牌和厂商触达数以亿计的中外消费者。
      公司通过自研ERP、技术工具，促进自身和合作伙伴业务发展，实现数字化升级，大力投资于人才队伍和推动技术创新，注重员工的物质与精神幸福，积极参与电商行业协同发展。截至2021年5月，公司三大欧盟品牌上年度销售额过8千万，广纳有理想有能力的跨境电商人才互利共赢！
       公司远景：愿景及使命：客户为本，技术创新
       企业文化：
       共生----联合你我，共生未来
       明分----因能任事，明分责诚
       信赏----因功受赏，信赏必罚
       创新----不法常可，治与时宜"
数据分析师,上海丰凡文化传媒有限公司,"1、负责目标平台的信息抓取和分析，提升数据挖掘的效率和质量；
2、负责定期维护和优化现有的数据挖掘体系，提高稳定性；
3、规范和优化数据的整理、入库、提取分析的流程，提高易用性；
4、确立指标体系，制作常规报表，设计报表，点击率、5s完播率、转化率 等等相关的数据分析，但不局限于此；
5、针对商业问题，设计合理的数据分析框架和方案，并提供分析所得的意见；
6、使用办公软件分析处理数据，得出可靠结果；
7、数据报告的分析能够列举出数据问题、趋势、并提供解决方案。
任职资格：
1、***本科学历，硕士优先。1-2年数据分析工作经验；
2、熟练使用excel的操作，具备基本数据处理和分析能力；
3、能快速理解业务，发掘业务细节和数据之间的联系；
4、对数据敏感，具有缜密的逻辑思维能力及优秀的书面总结及口头表达能力；
5、责任心强，细致认真，能承受较强的工作压力，热爱数据分析工作。
职能类别：
数据分析师市场分析/调研人员
关键字：
数据分析大数据数据处理数据分析师统计数据挖掘
微信分享","丰凡是一家综合性互联网软件开发及媒体公司，由产业大数据和人工智能驱动的正在飞速成长的企业。我们专注于移动互联网的综合营销解决方案，兼具平台和服务提供者属性，致力于为企业全量对外供应商采买需求提供有效支撑。公司首创了Cube Engine模式，能***限度地支持企业个性化适配适应于自身的产业解决方案。
丰凡传媒致力于为企业提供全方位视频拍摄、广告账户优化、广告投放策略等一站式整合营销服务，聚合优质资源助力客户对品牌影响力的提升。目前已积累了近万家客户资源，可延伸至十几个主流行业。
我们目前在上海、广州办公。现已覆盖抖音、阿里云、百度、小红书、快手、腾讯等多家国内媒体资源，同时在拓展facebook、google等海外业务，代表合作方包括但不限于腾讯、阿里巴巴、长荣海运、保洁、东方航空等。"
数据分析师H,北京经国海跃科技发展有限公司,"1、负责国际、国内宏观分析，制定相关操作策略；
2、搜集行业相关信息，进行分析解读，撰写报告；
3、对公司业务及各部门进行管理；
4、参与公司项目策划、执行、组织实施工作，并实施反馈情况；
5、完成上级交办的其他工作。
任职要求：
1、善于了解和分析国内外市场发展，并对该行业有自己独到的见解；
2、品行端正，性格坚毅，勤奋好学，勇于坚持；
3、乐于与人打交道，善于沟通，具有较强的团队协作精神；
4、具备良好的沟通协调技巧、敏锐快捷的市场反应能力；
5、有较强执行力，自制力；责任心强；
6、有较强学习能力，乐于研究新事物，接受新事物，有较强的接受能力与领悟力；
职能类别：
数据分析师
微信分享",经国海跃自成立起就一直坚持科技领先、开放互补的数据联盟战略，沉淀了丰富和坚实的企业级大数据技术和应用实践，软件著作、专利与技术创新十余项，致力于运用国际前沿科技搭建国内金融大数据应用平台，为推动中国金融衍生品行业普惠、健康发展尽一己之力。同时，经国海跃充分挖掘全球视野与专业人才优势，致力于提供专业、可靠创新方案和优势策略，***限度地同客户一道，创造价值，实现共赢。
数据分析助理,南京悦爱电子商务有限公司,"岗位职责：
1、协助数据分析师对各种业务数据进行收集、整理、分析，给出业务分析报告；
2、协助与各个业务团队对接，收集需求，发现问题点；
3、协助进行业务流程优化、效率提升、转化率提升建议。

岗位要求：
1、本科及以上学历，统计学、数学、计算机等理工科专业，有数据统计、分析经验优先。
2、精通Excel，熟悉数据分析相关工具；
3、具备优秀的逻辑思维、互联网思维。
职能类别：
数据分析师
微信分享","悦爱，创立于2006年，是一家在中国快速发展的时尚品牌公司。2010年，南京悦爱电子商务有限公司公司正式成立。旗下拥有“ukiss”、“yougift”、“eswind”等多个品牌，同时独立从事化妆品设计、品牌推广和销售，致力于通过子品牌的各类产品向全球顾客提供价格合理的最新高品质时尚潮流美妆产品。迄今为止，悦爱已拥有5个事业中心、超过12个合作电商平台、近200人精英专业团队、3000余家品牌分销商、超过500万零售会员客户。
 
公司愿景：成为一家值得尊敬的综合美妆消费品公司
 
公司使命：让全世界爱上中国化妆品。我们带领旗下品牌改善人们的生活，通过的优质产品和服务，使人获得自信、表达个性，享受更加优质的生活。我们承诺以注重道德，负责任的方式履行这个使命：世界美中国造！

我们是这样的悦爱：
1、不禁锢思想、不抹杀创意，做性格鲜明的新新人类；
2、专业的职业生涯指导、强有力的薪资福利，有明确的奋斗目标；
3、丰富多彩的业余活动、完善的培训体系，在积极、愉悦的工作氛围中实现自我价值。"
海洋环境数据应用工程师（派驻广州南沙）,深圳市朗诚科技股份有限公司,"英语水平：4级以上
任职要求：
1.具有海洋学、环境科学、化学或相关学科背景，对环境监测工作有一定的兴趣；
2.学习能力较强，能够在短时间内掌握各个系统运行的流程及相关的海洋监测标准、规范，开具数据分析、评价及报告编制工作；
3.能熟练运用Word、Excel、PowerPoint的办公软件，具有良好的数据分析能力，文字组织能力及技术材料编写能力；
4.工作认真细心，有良好的团队协作精神和沟通能力。

岗位职责：
1.负责对在线监测系统的运行情况进行监控，及时发现异常情况并与其他部门协调解决;
2.负责对在新监测的数据进行分析、评价、报告编制。

其他要求：
1.需先来深圳培训一个月，发放补助；
2.广州南沙派驻期间不包食宿。


职能类别：
环境影响评价工程师
微信分享","    深圳市朗诚科技股份有限公司成立于1999年，是一家致力于海洋与环境技术研发及产业化的高新技术企业。公司的主营业务包括海洋环境监测、观测技术及化学分析技术的研究、开发与产业化；海洋环境在线监测、观测系统的建设与运营服务。
    朗诚科技成立之初即以自主研发和技术创新为目标，现有员工110多人。研发团队涵盖海洋、化学、环境、物理、计算机、电子、机械、通讯等多个学科领域。经过十多年的发展，朗诚在汇聚了一大批行业中的精英人才的同时，创新出一系列具有国内国际先进水平的海洋在线监测、观测集成系统和化学分析仪器产品；取得了70多项产品发明专利、实用新型专利及软件著作权。
    朗诚科技研发基础扎实，研发实力雄厚，与清华大学、哈尔滨工业大学、暨南大学、天津大学、中国地质大学、深圳大学、中国科学院深圳先进技术研究院、中国科学院烟台海岸带研究所、燕山大学等高校和科研院所有紧密的技术合作。公司内部建有“海洋与环境技术研发中心”、“化学分析技术研发中心”、“朗诚分析测试中心”、“水下通讯技术研究中心”“海洋浮标维护校准实验室”等研发中心和实验室。
    朗诚科技是国家海洋局多项海洋在线监测行业标准牵头起草单位，是深圳市多项环境监测地方标准起草单位，是深圳市2013-2020海洋产业发展规划重点扶持企业。
    近年来，朗诚科技在深圳、秦皇岛、北戴河、汕尾、宁波、盘锦、锦州等沿海城市先后建成了一系列具有重大行业影响力的海洋在线监测、观测系统项目，并开展了成功的业务化应用，获得业内一致好评。
    朗诚的宗旨，促进人与生态环境的和谐相处，人与社会的和谐发展。以一流产品、一流质量、一流服务，为客户创造价值，为员工创造价值，为公司创造价值，为社会创造价值。"
数据分析主管,广东袋鼠妈妈集团有限公司,"岗位职责：
1、负责母婴行业的数据专题分析工作，内容包括但不限于行业大盘、品牌竞争、店铺经营、商品表现、新品测试等。
2、负责专题的数据分析报告，帮助业务发现问题，挖掘潜在机会，提供商业建议。
3、协助产品全生命周期的调研工作，通过数据分析评估新品的接受度、改进方向以及可能存在的细分市场等。

岗位要求：
1、***本科数学、统计学、心理学、社会学等相关专业，2年及以上数据分析相关工作经验，有头部互联网公司、美妆护肤及婴童行业甲方工作经验优先；
2、对互联网行业有深刻理解和认识，具备独立承担研究项目的能力和较好的项目推动能力；
3、熟练掌握各种定量研究方法，具有较强的数据分析逻辑，熟练掌握office、SPSS等统计软件；
4、性格严谨细致认真，较好的沟通能力和项目推动力，富有团队精神。
职能类别：
数据分析经理/主管
关键字：
数据分析数据处理
微信分享","关于公司：
快乐工作，幸福生活！
Happy work, happy life!
广东袋鼠妈妈集团,是一家集机票&旅游&度假产品销售与孕妇&婴童护肤品研、产、销一体的多元化集团企业。
在电子商务快速发展的时代，创始人凭借独特的思维模式，引入高端技术，汇集行业***人才，倾心打造公司机票事业部差旅产品网络销售平台-路淘旅行网及化妆品事业部旗下主打品牌“袋鼠妈妈”。
“袋鼠妈妈”品牌孕妇护肤品更是现已全面覆盖包含天猫、京东、小红书等在内的知名网上购物平台及线下销售终端，并在众多消费者支持下，“袋鼠妈妈”品牌现化身为孕妇护肤界的全球品牌典范。
未来，集团秉承承诺文化，持续在机票板块及孕、产、婴三大业务板块重点布局开拓，拓宽国内渠道及海外市场，提升供应链综合协同能力，共同打造行业***音！
秉承“创建百年幸福企业”的愿景；
倡导“爱国敬业，持续创新，高效协同，创造价值”的价值观。
袋鼠妈妈所获荣耀：
2013年，荣获天猫双十一奇迹品牌。
2015年，宝宝树“金树奖”---最喜爱品牌奖。
2015年9月，荣获十大跨境电商品牌奖。
2015年12月，荣获百度优秀合作伙伴奖。
2015年12月，荣获1号店――***合作伙伴奖。
2016年，荣获贝贝网全网“中国妈妈最喜爱品牌美妆”奖。
2016年11月，荣获天猫孕产――行业基石奖。
2016年，荣获京东母婴***销售奖。
2017年4月，荣获京东母婴***合作伙伴奖。
2017年9月，荣获母婴类目金麦品质奖。
2017年12月，荣获金麦奖产品类――母婴健康营销金奖。
2018年9月，袋鼠妈妈小麦保湿柔肤水、燕窝孕妇气垫霜、滋芯润唇口红三大爆品荣获金麦奖”2018年度品质大奖“。
2018年12月，荣获“2018年广东省高新技术产品”权威认定。
2018年12月，荣获金麦奖年度“***创意营销品牌”奖。
2018年12月，荣获金麦奖年度”最具影响力IP“奖。
2019年1月，荣获第四届樱桃大赏”年度最具成长力企业“
2019年双十一：蝉联孕期护肤类目冠军――六年冠再创奇迹！

加入我们：
我们的核心部门总监80%都是从基础岗位晋升上来，太多人在袋鼠妈妈完成了自己的蜕变，从客服到总监，从实习生到运营总监.....我们需要真诚，爱学习，肯努力，肯付出的你！我们有自己的内部培养体系，还有以老带新机制，会有定期及不定期的各类培训，直到把你培养成精英。
如果你发现事业中缺少一位伯乐?
We're looking for you!
一帮志同道合的战友!
一个充满机遇的平台!
袋鼠妈妈是家，是平台，这里的每个人都快乐工作，认真生活。我们也一直践行着“为公司全体家人能在广州安居乐业而奋斗”的安居梦，未来还有很长的路要走，我们的使命就是带领全体伙伴为爱奋斗，创造价值，享受幸福，实现共同“安居梦”！

关于福利：
氛围温馨，福利巨多！
★环境：独栋写字楼，配套齐全；
★成员:年轻有活力，多元、开放、创新、踏实；
★学习：袋鼠大学、培训体系、线下读书分享会；
★？薪资：每月评优，年终奖金、富有竞争力的薪资待遇；
★？小孩：宝宝诞生大礼包、178天产休假；
★餐饮：传说中“别人家的饭堂”，五星级免费自助餐，在这里可开怀体验；
★礼物：在这里，内购福利巨多，你有用不完的护肤品；
★人文***神节、七夕、生日party、篮球赛、歌手比赛、瑜伽、电影、月会、年会…一场都不会少；
★？健康：中医理疗、爱心药箱、健身房、KTV、健康体检、五险一金，全方位关注您的健康；
★安居：免费独栋别墅/公寓/洋房，小区配套齐全；
★特殊贡献奖：房子首期款奖励40～50万元、小轿车奖励；
我们期待你的加入！
公司地址：广州市增城区新塘镇合景誉山国际融景一路1号B1栋写字楼"
数据挖掘工程师,中国科学院自动化研究所,"职责描述：
1、负责人机对话系统数据收集、数据挖掘、自动化清洗、数据标注等相关的工作；
2、参与人机对话系统数据归档和整理，数据库的构建和维护，支撑算法和模型迭代；
3、参与人机对话算法性能评测等。

任职要求：
1、 两年以上编程经验；
2、 精通C/C++/Python/shell中至少1种编程语言，掌握常用数据结构、常用算法；
3、熟练掌握Oracle、mysql等至少一种关系型数据库及相关技术； 
4、 有良好的编程习惯，对数据结构、算法有一定了解；
5、 了解或从事计算机视觉、图像处理、机器学习、深度学习、人工智能等领域优先。
职能类别：
数据标注师
关键字：
数据挖掘数据清洗数据标注
微信分享",所属部门：类脑研究中心
助理医疗数据分析师,北京博睿同信医药信息咨询有限责任公司,"岗位职责：
1、 对医疗创新业务展开深入研究分析，数据驱动洞察，发现业务新增长机会
2、 根据项目设计数据提取方案
3、 对真实世界医疗数据进行校验、治理，并对数据进行整合与标准化
4、对数据进行统计分析、数据挖掘、数据可视化
5、深入分析和挖掘海量数据，发掘基于数据的新业务模式
6、其他公司或部门安排工作
任职要求：
1.本科及以上医药相关专业学历
2.数据逻辑清晰，业务理解能力强，良好的沟通与协作能力，善于发现问题并解决问题
3.具备较强的数据敏感度与数据分析能力，熟练使用MYSQL，掌握SAS,PYTHON、R等工具优先
4.学习能力强，较快接受和理解新生事物
职能类别：
数据分析师
关键字：
数据分析医疗大数据挖掘
微信分享",基于以大数据为基础的医药领域市场研究公司，主要服务于跨国外企、政府社保机构、各大小医院、各类协会，已有7年行业经验。
数据专员/助理,上海沿拓文化传播有限公司,"1、整理、维护更新运营相关用户数据库资料；
2、整理APP端和活动中产生的积分，根据流程完成对应积分报表；
3、根据客户需求每周出具数据周报和临时数据报表；
4、根据运营需求针对活动出具数据报表和临时数据报表；
5、协助部门经理完成各类报表文件的上传、下达、整理及归档工作；
6、负责整理、分类、存档部门相关合同、文档等；
7、部门经理交代的其他工作。
    职位要求：
1、营销、经济、管理、商务、财务等相关专业大学专科以上学历；
2、出色使用Office办公软件，具备独立运用word、ppt能力，熟练使用Execl基本公式以及数据透视表；
3、良好的沟通表达能力、团队意识及服务理念有良好的；
4、工作态度认真负责、积极主动，思路清晰，有较强的学习和适应能力；
5、愿意学习并面对挑战，能够承受一定工作强度与压力。
职能类别：
数据运营
关键字：
助理专员数据数据运营
微信分享","ONEDESIGN成立于2008年
据点于上海
服务许多知名的汽车品牌
欧美系，日韩系，本土系等知名汽车厂商
我们帮助他们说故事，做表演，玩游戏
ONEDESIGNers，个个不务正业
一位拥有20年业内丰富经验的汽车设计师
加上一位贯穿游戏，电影，的资深艺术总监
以及一大堆工业设计，视觉设计，广告营销，国际贸易，外语专业
的70，80，90后的成员所组成
***的共同点－喜爱汽车，爱说故事
我们专注于
将汽车的产品故事，理念，诉求
传递给消费者
它包含
研究，策划，设计，制作以及传递路径的整合执行
可以是
文字，图像，视频，游戏，交互体验，出现在生活周遭可能的接触点
也就是
包含内容，软件与设备，针对品牌与产品，量身定做的产品内容与沟通整合方案"
数据分析,中财招商投资集团有限公司,"工作内容:
1、辖属公司财务检查。2、数据分析。
任职要求:
1、具备财务知识。2、会简单的编程。
职能类别：
财务分析员
关键字：
数据
微信分享","中财招商投资集团，作为一家社会化、市场化、现代化的综合性企业集团，已涉足化学建材、融资担保、典当拍卖、期货证券、资产管理、小额贷款、互联网金融、地产经营、旅业开发和国际贸易等领域，呈强劲发展态势。
中财集团坚定实业发展，致力金融回归。
中财化学建材业、中财金融广角、中财期货证券业、中财境外事业，是中财集团商业构架的四大事业组件。

浙江中财管道科技股份有限公司、浙江中财型材有限公司、天津中财型材有限公司、西安中财型材有限公司、四川中财管道有限公司、新疆中财管道有限公司、吉林中财管道有限公司、湖南中财化学建材有限公司、六安中财管道科技有限公司和上海中财塑胶有限公司、上海中财国际贸易有限公司、浙江化建企业管理服务有限公司、湖南湘光机械模具有限公司是中财化学建材业的生产性企业和服务性企业。中财化学建材业各生产性企业分别是浙江、天津、陕西、四川、新疆、吉林、湖南等省市的高新技术企业和国家重点高新技术企业。中财化学建材业的营销网络遍布全国，放眼全球，拥有直辖总部（杭州）、黄河总部（西安）、北方总部（天津）、西南总部[型材]（成都）、西南总部[管道]（成都）、上海总部（上海）、天津总部（天津）、海外总部（杭州）、长江总部[型材]（武汉）、长江总部[管道]（武汉）、 西域总部（乌鲁木齐）、南方总部（湖南）、关东总部［型材］（长春）、关东总部［管道］（长春）等十四大市场总部。
同时，为奠定中财管道的全国品牌地位，开展体制机制的创新和探索，中财集团还在江苏、广西、甘肃、河南、江西、云南、重庆和黑龙江等区域设立了江苏华财管道有限公司、广西南财管道有限公司、甘肃银财管道有限公司、河南河财管道有限公司、江西元财管道科技有限公司、云南亨财管道有限公司、重庆利财管道有限公司和黑龙江贞财管道有限公司，作为中财管道全国发展的重要补充，积极开创一条产销融合、区域名牌的发展之路。

中财金融广角已构筑起杭州、上海、天津、西安、武汉、长沙、成都、北京、深圳、南京、重庆、济南、沈阳、太原、广州、南昌、郑州、石家庄、合肥、福州等二十大广角五十三间公司的金融服务连锁平台。中财集团通过不断的探索和实践，成功地把中财金融广角的营运模式覆盖到更大的区域和范围，并已聚集起一大批优质客户群体。以担保、典当、拍卖和项目金融等为主导的中财特色金融服务，其产品品类丰富，贴近市场，领先市场，它们是中财集团金融服务业的主打品牌。
同时，随着中财金融广角之厚实深广发展，中财还将在互联网金融领域再造一道红天桃的绚丽风光。红天桃金融顾问，首先不考虑赚钱发财，而要从研究借款人的需求和贷款（理财）人的要求入手来创制一系列的业务体系和金融生态，然后，从专业化和互联网的角度来研究落实风险的认识、把握、转换、化解和控制问题，使贷款（理财）人的资金相对最安全、收益率相对***，借款人的借款需求满足得相对最快、时间成本和经济成本相对最低，充分发挥红天桃金融顾问的平台作用，最后，通过红天桃金融顾问的微亏经营、保本经营和赚钱经营的成长历程，实现中财回归金融的后发先至，达到更新更高的发展境界。

中财期货证券业以上海中财期货有限公司为核心企业，以上海陆家嘴华能大厦为管理总部，面向全国，区域布局，以各营业部和事业部为网络和触角，以上海中财智库能源科技有限公司、上海中财智库橡胶科技有限公司、上海中财智库农业科技有限公司和上海中财立志投资有限公司、上海中财信立投资有限公司、上海中财立品投资有限公司为创新方向和制胜法宝，以中国期货行业制度创新和改革发展为契机，正以“千军万马、阵堂旗正”之势，全力构筑成为中财集团事业组件之第三极。
同时，为创造中财资产管理的新优势，探索机制，创新模式，中财集团还先后构筑起中财的投资村落，创设了浙江中财明强投资有限公司、浙江中财强毅投资有限公司、江苏中财拍岸投资有限公司，以立志（向）立信（用）立品（牌）为基本指导思想，以“定慧定力，智勇为锋；知足知止，天地久长”为主要投资理念，努力造就中财资产管理新的有生力量。

中财境外事业，是中财集团的第二个市场、第二种资源、第二大机制，是中财集团走向世界新的发展之源，它以香港中财金融投资有限公司为核心企业，分境外经营和境外投资两大主线，以中财实业（集团）有限公司、中财资产管理有限公司、中财证券有限公司、中财美国股份有限公司、中财移民顾问有限公司等公司为骨干企业，已日益打造成为中财集团事业组件之国际化经营的崭新一极。

此外，中财集团还将顺应中国地产行业稳定发展的市场形势，积极打造中财地产控股品牌；还将紧跟中国民众消费升级，旅游度假方兴未艾的新消费趋势，重金铸造中财旅业控股品牌。
中财地产控股，以深圳前海中财中心项目发展为主题，以一线城市精品开发和精品收藏为主轴，以产业集聚地和县域城镇化为主线，以中国土地制度综合改革为主要方向，探索实践中财地产控股有特色、有个性、有风格的发展之路。
中财旅业控股，先建立四川西昌，或海南三亚之中财度假酒店，再积累业内人脉和管理经验，最后，利用地方政府旅业经营“国退民进”和国内旅业企业杠杆率奇高的现状，随机而动，伺机开展中财旅业控股的收购运作和兼并扩张。

中财集团是建功立业者实现人生价值的舞台，创业家的乐园。
