词语,频率
美国,24
大豆,20
步行,20
种植,19
退役军人,18
病例,18
生产,17
湖南大学,16
子弟学校,16
未,16
农业,14
总统,14
拜登,14
100,14
外出,14
郁金香,14
阳光,14
种子,13
26,13
甲醇,13
新,12
购物,12
学习,12
服务,11
农机,11
万亩,11
28,10
工作,10
提供,10
编辑,10
确诊,10
冲突,10
俄罗斯,10
核酸,10
小区,10
27,9
普京,9
面积,9
托管,9
自驾,9
学校,9
雅礼,9
日电,8
好,8
军工企业,8
工业,8
技术,8
25,8
绿色,8
北大荒,8
化肥,8
酒精,8
中毒,8
溧阳,8
中学,8
意见,7
新华社,7
全国,7
监管,7
国防,7
综合,7
期间,7
玉米,7
闭环,7
隔离,7
母亲,7
调解,6
疫情,6
疾控中心,6
一种,6
品种,6
种,6
检测,6
乌,6
欧洲,6
人员,6
国会,6
达,6
白宫,6
施肥,6
农场,6
元,6
合作社,6
肥西县,6
亩,6
稻田,6
均,6
李女士,6
某某,6
阳性,6
在家,6
中新网,5
号,5
消息,5
纠纷,5
组织,5
活动,5
人民法院,5
病毒,5
负责人,5
种业,5
假冒伪劣,5
套牌,5
侵权,5
企业,5
畜禽,5
管理,5
带来,5
斯珀林,5
游说,5
导致,5
预算,5
亿美元,5
增加,5
国家,5
政权,5
优质,5
黑龙江,5
插秧,5
田间,5
作业,5
大英县,5
农民,5
农田,5
集团,5
岁,5
提升,5
推进,5
建设,5
村,5
介绍,5
智能,5
转运,5
农药,5
离开,5
家中,5
枫树,5
栋,5
午餐,5
午休,5
回家,5
西路,5
保障,4
提出,4
服务中心,4
诉讼,4
智慧,4
拉沙热,4
死亡,4
销售,4
违法行为,4
质量,4
模式,4
高,4
军工,4
外交,4
告诉,4
政府,4
俄乌,4
防务,4
一个,4
言论,4
澄清,4
更迭,4
春耕,4
自动,4
史军晖,4
我国,4
提高,4
补贴,4
土壤,4
防治,4
30,4
育秧,4
秧苗,4
有机肥,4
食源性,4
症状,4
购买,4
春天,4
花,4
长沙市,4
新冠,4
岳麓区,4
开福区,4
雨花区,4
接,4
登高,4
路,4
白鹤,4
文具店,4
采样,4
劳动,4
联合,3
指出,3
站,3
点,3
参与,3
专家,3
精准,3
尼,3
发现,3
用于,3
防控,3
呼吁,3
患者,3
农村部,3
日前,3
执法,3
狠抓,3
电商,3
严查,3
经营,3
持续,3
环节,3
利用,3
数据,3
近年来,3
区域,3
力度,3
战争,3
俄,3
巨头,3
收益,3
大幅,3
上涨,3
紧张局势,3
曾,3
武器,3
利益,3
这是,3
报道,3
开花,3
股价,3
近,3
15,3
发布,3
没想到,3
一句,3
话,3
引发,3
掌权,3
克里姆林宫,3
寻求,3
图,3
找补,3
时间,3
乌克兰,3
地区,3
法国,3
驾驶,3
升级,3
中心,3
插秧机,3
侧深,3
无人,3
确保,3
产量,3
情况,3
污染,3
全年,3
粮食,3
宝泉岭,3
分公司,3
22,3
种粮,3
高蛋白,3
计划,3
预计,3
如今,3
高产,3
高标准,3
专业,3
撂荒地,3
余亩,3
复耕,3
手机,3
无人机,3
何从,3
智能化,3
工厂,3
需,3
长势,3
监测,3
地里,3
绿肥,3
水稻,3
灯,3
社区,3
使用量,3
玉成,3
李,3
有机,3
超,3
散装白酒,3
醉酒,3
视力,3
损伤,3
燃料,3
白酒,3
江苏,3
春茶,3
宿舍,3
朋友,3
开出,3
阴性,3
初筛,3
凌晨,3
经市,3
复核,3
确认,3
单元,3
班,3
回,3
24,3
期,3
分店,3
定点,3
酒店,3
返回,3
至雅礼,3
浏阳河,3
街道,3
最高人民法院,2
微信,2
公众,2
部署,2
解纷,2
需求,2
近日,2
多元化,2
解,2
基层,2
走访,2
法治,2
文化,2
常态,2
化,2
打造,2
设立,2
场所,2
因地制宜,2
设置,2
平台,2
在线,2
力量,2
调解员,2
优先,2
网上,2
各类,2
尼日利亚,2
疾病,2
今年以来,2
病死率,2
共,2
邻国,2
针对,2
头痛,2
姜雨薇,2
保护,2
知识产权,2
打击,2
行政,2
网络,2
非法,2
转基因,2
整治,2
重点,2
时节,2
强化,2
基地,2
许可,2
加快,2
建立,2
加大,2
案件,2
叶攀,2
美,2
军火商,2
财,2
政治,2
接受,2
采访,2
美国国会,2
紧张,2
局面,2
官员,2
任职,2
回到,2
相比,2
手段,2
经济,2
选举,2
众议员,2
媒体,2
军队,2
复合体,2
美国政府,2
两党,2
赚,2
不了,2
钱,2
投资者,2
洛克希德,2
马丁,2
首席,2
执行官,2
雷神,2
格雷格,2
爆发,2
美元,2
涨幅,2
20%,2
军事援助,2
35,2
16,2
越来越,2
2022,2
财年,2
支出,2
2021,2
支持,2
北约,2
捆绑,2
显示,2
下降,2
产业,2
意味着,2
间,2
平均,2
人数,2
超过,2
议员,2
推动,2
本想,2
一场,2
精彩,2
演讲,2
结束,2
行,2
即兴,2
发挥,2
盟友,2
距离,2
本人,2
不得不,2
资料,2
当地,2
局势,2
观点,2
布,2
林肯,2
马克,2
花园,2
选择,2
春分,2
气温,2
春管,2
春播,2
黑土地,2
北斗,2
导航系统,2
变量,2
施肥机,2
定制,2
营养餐,2
机,2
规划,2
路线,2
四川,2
来到,2
地头,2
实施,2
关键技术,2
良种,2
今春,2
优化,2
黑土,2
共青,2
畦,2
流转,2
多亩,2
新品种,2
一号,2
文件,2
产能,2
80%,2
新增,2
1000,2
轮作,2
作物,2
算了,2
笔账,2
200,2
150,2
旁,2
标准化,2
部门,2
操作,2
亩产,2
400,2
农技,2
实验室,2
培育,2
2019,2
单产,2
技术员,2
49,2
力争,2
土地,2
金元,2
镇,2
开垦,2
农户,2
截至,2
机械,2
导航,2
大户,2
田埂,2
植保,2
喷药,2
几天,2
小麦,2
病虫害,2
金说,2
人工,2
双全,2
万多亩,2
设备,2
无人驾驶,2
大力推广,2
先进,2
机械化,2
七星,2
有限公司,2
催芽,2
年前,2
工人,2
浇水,2
无人化,2
德华,2
省,2
每亩,2
我家,2
叶龄,2
环保,2
降本增效,2
紫云英,2
花开,2
虫害,2
太阳能,2
杀虫,2
魏宏,2
巢湖,2
流域,2
一级,2
保护区,2
替代,2
减少,2
粪污,2
资源化,2
秸秆,2
测土,2
配方,2
利用率,2
食品,2
来源,2
苑,2
菁菁,2
勾兑,2
酒,2
产品,2
系统,2
发生,2
提示,2
饮用,2
透明,2
无色,2
有毒,2
液体,2
摄入,2
毫升,2
喝,2
含有,2
值得注意,2
接触,2
醇基,2
乙醇,2
潜伏期,2
23,2
包装,2
标识,2
平稳,2
有序,2
采茶,2
白茶,2
采摘期,2
采摘,2
往年,2
公园,2
赏花,2
园艺,2
后院,2
成片,2
惊艳,2
鲜花,2
洛杉矶,2
冬天,2
院子,2
花卉,2
管控,2
肺炎,2
唐,2
系,2
密切接触,2
纳入,2
21,2
日晚,2
钟,2
轨迹,2
送至,2
14201628,2
1628,2
放学,2
父亲,2
门店,2
1740,2
1750,2
1850,2
通道,2
740,2
1210,2
1230,2
前往,2
1235,2
停留,2
1240,2
1248,2
1410,2
1442,2
公交站,2
730740,2
山,2
马家冲,2
送,2
7401230,2
教师,2
14002030,2
出门,2
相关,2
密接,2
贯彻落实,1
党中央,1
切实,1
维护,1
合法权益,1
多元,1
增强,1
荣誉感,1
归属感,1
感,1
事务部,1
印发,1
司法,1
化解矛盾,1
前沿阵地,1
入户,1
座谈,1
沟通,1
形式,1
以案,1
普法,1
以案释法,1
宣传,1
阵地,1
人民法庭,1
县级,1
巡回,1
办案,1
家门口,1
高效,1
化解,1
老兵,1
室,1
充分发挥,1
集成,1
优势,1
吸纳,1
符合条件,1
矛盾,1
现役军人,1
人民,1
行业性,1
专业性,1
律师,1
入驻,1
线,1
上线,1
菜单,1
式,1
大厅,1
绿色通道,1
窗口,1
持有,1
优待证,1
咨询,1
答疑,1
跨域,1
立案,1
材料,1
收转,1
依托,1
服务平台,1
申诉,1
伤残,1
老年,1
关心,1
关怀,1
专人,1
办理,1
便民服务,1
措施,1
吉翔,1
阿克拉,1
许正,1
郭骏,1
阿布贾,1
控制中心,1
该国,1
123,1
约,1
187%,1
659,1
例拉沙热,1
包括,1
45,1
名,1
医护人员,1
各州,1
医疗机构,1
分发,1
医疗,1
物资,1
蔓延,1
保持警惕,1
启动,1
应急,1
响应,1
由拉沙,1
急性,1
病毒性,1
出血热,1
西非国家,1
常,1
老鼠,1
啮齿动物,1
排泄物,1
血液,1
体液,1
传播,1
主要症状,1
发烧,1
喉咙痛,1
咳嗽,1
腹泻,1
时致,1
网站,1
营造,1
振兴,1
良好环境,1
指导,1
答记者问,1
做出,1
安排,1
提到,1
一是,1
专项,1
关键,1
市场,1
检查,1
技术手段,1
制种,1
持续保持,1
严打,1
高压,1
态势,1
冻精,1
遗传物质,1
二是,1
业态,1
网络平台,1
创新,1
方式,1
分工,1
处置,1
协同,1
联动,1
机制,1
三是,1
大案要案,1
查处,1
跨,1
挂牌,1
督办,1
查办,1
涉嫌,1
构成犯罪,1
移送,1
公安机关,1
群众反映,1
社会,1
关注度,1
多发,1
重拳出击,1
到底,1
震慑,1
到位,1
华盛顿,1
国际,1
观察,1
借俄乌,1
大发,1
熊茂伶,1
发酵,1
伤亡人数,1
攀升,1
世界,1
经济损失,1
不可估量,1
巨额,1
股票价格,1
地缘,1
印钞机,1
政界人士,1
详解,1
生意经,1
鼓吹,1
对抗,1
靠边,1
反战,1
公正,1
外交政策,1
执行,1
主任,1
埃里克,1
不容,1
小觑,1
想要,1
至少,1
军事,1
刺激,1
政商,1
旋转门,1
普遍现象,1
军方,1
高官,1
国务院,1
卸任,1
董事会,1
担任,1
顾问,1
氛围,1
对抗性,1
军事化,1
应对,1
符合,1
2020,1
民主党,1
竞选人,1
图尔,1
西,1
加,1
巴德,1
中旬,1
警示,1
简称,1
控制,1
民主,1
共和,1
好战,1
分子,1
煽动,1
协议,1
军火,1
获利,1
兆头,1
早,1
詹姆斯,1
泰兹,1
利特,1
大国,1
竞争,1
膨胀,1
业务,1
海斯,1
东欧,1
获益,1
机会,1
多点,1
盆满,1
钵,1
满,1
领头羊,1
年初,1
每股,1
354,1
一路,1
453,1
28%,1
同期,1
诺,1
思罗普,1
格鲁曼,1
通用,1
动力,1
大涨,1
分析,1
人士,1
美欧,1
增长,1
额外,1
总价,1
价值,1
援助,1
共识,1
本月,1
早些时候,1
美国国会参议院,1
万亿美元,1
联邦政府,1
拨款,1
法案,1
项目,1
7820,1
420,1
艾奥瓦州,1
丘,1
萨克,1
数额,1
高于,1
提议,1
原因,1
廉价,1
爱国主义,1
国会议员,1
担心,1
来自,1
极右翼,1
攻击,1
投票,1
反对,1
在政治上,1
不划算,1
德国,1
纷纷,1
调整,1
政策,1
美军,1
工,1
商机,1
促使,1
北约组织,1
成员国,1
开支,1
一部分,1
合同,1
落入,1
手中,1
着眼,1
长远,1
美国国防部,1
一份,1
报告,1
自上,1
世纪,1
90,1
年代,1
国防部门,1
承包商,1
整合,1
51,1
寡头,1
垄断,1
愈演愈烈,1
数量,1
越,1
少,1
定价权,1
越高,1
利润,1
可观,1
源源不断,1
一向,1
大手笔,1
布朗,1
大学,1
一项,1
研究,1
二十年,1
花费,1
高达,1
五年,1
雇用,1
700,1
说客,1
参众两院,1
总和,1
打交道,1
就业,1
岗位,1
分散,1
成千上万,1
相连,1
削减,1
面临,1
阻力,1
所属,1
选区,1
民众,1
失业,1
孙丁,1
甘甜,1
或许,1
来说,1
轩然大波,1
听闻,1
怒,1
急,1
试图,1
失言,1
忙,1
波兰,1
首都,1
华沙,1
发表演说,1
宣称,1
上帝,1
这一,1
立刻,1
外界,1
热议,1
眼看,1
冒失,1
之言要,1
捅,1
马蜂窝,1
急忙,1
不能允许,1
行使权力,1
讨论,1
权力,1
这句,1
原本,1
事先,1
讲话稿,1
国务卿,1
赶忙,1
表态,1
昨晚,1
简单,1
授权,1
发动战争,1
侵略,1
特别强调,1
地方,1
战略,1
着急,1
泼出去,1
水,1
哪有,1
收回,1
驳斥,1
发言人,1
佩,1
斯科夫,1
2017,1
29,1
到访,1
龙,1
观光车,1
陪同,1
游览,1
凡尔赛宫,1
跳,1
德国总理,1
朔,1
尔茨,1
改变,1
目标,1
龙则,1
语言,1
意外,1
搅动,1
敏感,1
多方,1
争议,1
美媒,1
问及,1
下台,1
身处,1
漩涡,1
最终,1
动能,1
助,1
保,1
供给,1
促,1
丰收,1
方位,1
已过,1
回升,1
抢抓,1
农时,1
多措,1
并举,1
正,1
由南向北,1
大面积,1
展开,1
装,1
边测,1
土边,1
每口,1
肥料,1
搅浆,1
整地,1
一键,1
出库,1
入库,1
奔赴,1
育苗,1
现场,1
农业大学,1
团队,1
手把手,1
教,1
缩株,1
保密,1
扩间,1
增光,1
复种,1
不减,1
多收,1
一季,1
豆,1
选,1
建,1
良田,1
慧,1
种地,1
云,1
治,1
减,1
打下基础,1
夺取,1
农业丰收,1
至关重要,1
多地,1
图景,1
冰雪消融,1
油亮,1
翻滚,1
成排,1
排大,1
垄,1
采用,1
垄密,1
栽培,1
做好,1
早上,1
好手,1
爬上爬下,1
检修,1
仓库,1
袋袋,1
堆成,1
小山,1
开袋,1
一看,1
金黄,1
饱满,1
3000,1
转,1
油料,1
工程,1
黑龙江省,1
占,1
40%,1
商品率,1
品质,1
亿斤,1
减肥,1
减药,1
少虫,1
少害,1
双升,1
生产者,1
加上,1
积极性,1
驾驶席,1
摆着,1
一套,1
技术规程,1
杂草,1
气候,1
要素,1
制定,1
规范,1
生产流程,1
精细化,1
史军晖家,1
祖孙三代,1
百斤,1
斤,1
离不开,1
良法,1
更新换代,1
技术人员,1
一排排,1
培养皿,1
发芽试验,1
高寒,1
广适性,1
引繁,1
试验区,1
选育,1
一批,1
高油,1
龙垦,1
306,1
创下,1
230,1
纪录,1
严景春,1
106,1
主选,1
2%,1
副总经理,1
杨,1
荣军,1
粮油,1
丰产,1
亿亩,1
中低产田,1
改造,1
耕地,1
力,1
等级,1
盘龙,1
大片,1
油菜,1
田,1
生机勃勃,1
不远处,1
几台,1
挖掘机,1
平整土地,1
修建,1
便,1
路路,1
发种,1
养殖,1
陈善武,1
8000,1
6000,1
带状,1
复合,1
双向,1
发力,1
探索,1
集体经济,1
村委,1
复垦,1
万,1
丘陵,1
地貌,1
土地平整,1
连片,1
机力,1
畅通,1
灌排,1
配套,1
现代农业,1
格局,1
草木,1
萌生,1
安徽,1
花岗镇,1
何从金,1
掏出,1
选准,1
田块,1
飞行高度,1
速度,1
轰,1
一声,1
飞,1
设定,1
叶子,1
发黄,1
麦秆,1
斑点,1
怕,1
纹枯病,1
抓紧,1
打药,1
难题,1
才能,1
十几亩,1
半小时,1
金,1
熟悉,1
雇,1
干活,1
包,1
吃饭,1
省时省力,1
还给,1
走进,1
旋耕机,1
收割机,1
一应俱全,1
多台,1
一年,1
周边,1
乡镇,1
加装,1
路径,1
指着,1
派上用场,1
机具,1
社会化,1
能力,1
理事,1
农机手,1
引导,1
村级,1
网格化,1
驱动,1
农具,1
更显,1
神通,1
高科技,1
保驾护航,1
农作物,1
耕种,1
收,1
率达,1
72%,1
2200,1
万台,1
套,1
装备,1
投入,1
暗室,1
龙门吊,1
手臂,1
吊起,1
吨,1
轻松,1
双氧,1
生产线,1
工序,1
十几个,1
搬运,1
数次,1
浸种,1
播种,1
覆土,1
流程,1
工作人员,1
坐在,1
屏幕,1
远程,1
雇人支,1
大棚,1
流水线,1
均匀,1
抗逆性,1
强,1
增产,1
户周,1
算了算,1
人力,1
节本,1
增效,1
80,1
他家,1
300,1
批量,1
育成,1
多功能,1
轨道,1
运输车,1
车间,1
直送,1
小小的,1
连接,1
空间,1
省下,1
五六千元,1
费用,1
不说,1
笔直,1
齐整,1
周,1
点开,1
应用软件,1
感应器,1
墒情,1
信息,1
浇灌,1
排水,1
有叶龄,1
采集,1
分布,1
地图,1
差异化,1
高空,1
遥感,1
全省,1
科技进步,1
贡献率,1
69%,1
率,1
98%,1
育种,1
精量,1
点播,1
卫星,1
农情,1
推广应用,1
农垦,1
党委书记,1
董事长,1
王守聪,1
规模化,1
群,1
核心,1
示范,1
新建,1
20,1
节肥,1
深翻,1
地下,1
能为,1
养分,1
安装,1
诱捕,1
解决,1
三河镇,1
滨湖,1
每隔,1
一盏,1
晚上,1
亮,1
引诱,1
害虫,1
位于,1
拼,1
没少用,1
一长,1
水质,1
受,1
影响,1
渐渐,1
化学,1
肥,1
成本,1
地能,1
差,1
魏宏说,1
撒种,1
种得,1
有机质,1
含量,1
高级,1
农艺师,1
孙坚,1
政说,1
绿色生态,1
减量,1
优质稻,1
生物防治,1
物理,1
全县,1
39,1
同比增加,1
445%,1
连续,1
负增长,1
农产品,1
总体,1
合格率,1
976%,1
中央,1
农村,1
发展,1
面源,1
综合治理,1
投入品,1
减量化,1
夏天,1
左边,1
抓,1
鸭子,1
右边,1
捞,1
活鱼,1
桦川县,1
理事长,1
鸭稻,1
蟹稻,1
虾稻,1
鱼稻,1
立体化,1
无需,1
除草剂,1
粪便,1
制成,1
53%,1
2000,1
一亩,1
田多,1
500,1
减下,1
多斤,1
农家肥,1
抛撒,1
还田,1
逐地,1
逐块,1
更好,1
培肥,1
地力,1
佳木斯市,1
95%,1
90%,1
认证,1
1500,1
张艺开,1
游,1
仪,1
宋豪,1
人民网,1
北京,1
张文婷,1
不法,1
商贩,1
低成本,1
事件,1
时有发生,1
暴发,1
监测数据,1
2011,1
中毒事件,1
31,1
257,1
发病,1
47,1
183%,1
卫健委官,1
网,1
称,1
用餐,1
饮酒,1
自制,1
药膳,1
不明,1
酒水,1
伴随,1
畏光,1
复视,1
高度重视,1
及早,1
就医,1
俗称,1
木醇,1
木精,1
挥发性,1
用做,1
溶剂,1
化工,1
原材料,1
可经,1
呼吸道,1
皮肤,1
消化道,1
入体,1
人体,1
毒,1
作用,1
本身,1
代谢,1
产物,1
甲醛,1
甲酸,1
特征,1
中枢神经,1
眼部,1
代谢性,1
酸中毒,1
～,1
10,1
致死,1
多由误,1
掺兑,1
假酒,1
顾名思义,1
指,1
它常,1
有害物质,1
食用,1
在生活中,1
丁醇,1
醇类,1
物质,1
原料,1
气味,1
似,1
误食,1
224,1
小时,1
长达,1
天,1
延长,1
头晕,1
恶心,1
呕吐,1
腹痛,1
烦躁,1
模糊,1
重症,1
双目失明,1
神志不清,1
抽搐,1
呼吸困难,1
昏迷,1
早期,1
类似,1
常有,1
家属,1
误以为,1
不作,1
治疗,1
时机,1
延误,1
对此,1
卫健委,1
消费者,1
应,1
正规渠道,1
完整,1
标签,1
符合标准,1
无,1
切勿,1
私自,1
来源不明,1
杜绝,1
来历不明,1
流向,1
餐桌,1
生活必需,1
单位,1
储存,1
建议,1
家庭,1
存放,1
石睿,1
统筹,1
抓好,1
央视网,1
迎来,1
开采,1
外省,1
工有,1
一万多,1
全员,1
升高,1
各大,1
茶园,1
繁忙,1
景象,1
清明,1
短时间,1
制作,1
典型,1
季节性,1
劳动密集型,1
防疫,1
茶场,1
实行,1
进出,1
制茶,1
运输,1
互不,1
交叉,1
分,1
每间,1
合理安排,1
住宿,1
聚集,1
抵达,1
全程,1
世界日报,1
汉庭顿,1
拉,1
肯纳,1
达茶,1
却是,1
格兰,1
杜拉,1
爱好者,1
第一次,1
成,1
小花,1
海,1
邻人,1
喜欢,1
莳,1
弄,1
草,1
空余,1
从不,1
闲着,1
锄地,1
交换,1
交流,1
心得,1
一年四季,1
不冷,1
圣诞节,1
依然,1
花草,1
情有独钟,1
多年,1
家人,1
阿姆斯特丹,1
旅行,1
特别,1
脱队,1
博物馆,1
参观,1
浓郁,1
情怀,1
每到,1
发芽,1
梦想,1
盆里,1
不小,1
到处,1
零星,1
角落,1
没种,1
看不到,1
开,1
李太太,1
数百,1
棵,1
张罗,1
圣诞,1
大餐,1
刨地,1
笑,1
言,1
第二个,1
星期,1
庭院,1
第一朵,1
一周,1
之内,1
拔,1
亭亭玉立,1
蓝天白云,1
春风,1
摇曳,1
美不胜收,1
美而,1
不娇,1
非常容易,1
花头,1
坑,1
一寸,1
半左右,1
埋,1
给水,1
疏松,1
湿润,1
花种,1
美丽,1
花朵,1
不让,1
失望,1
实在,1
可爱,1
太阳,1
灼人,1
花娇,1
叶嫩,1
留在,1
花期,1
会因,1
曝晒,1
大大缩短,1
第二天,1
剪,1
回来,1
插花,1
正是,1
品茗,1
季节,1
喝茶,1
聊天,1
桌上,1
妙不可言,1
杨青,1
王琴,1
长沙,1
湖南省,1
例行,1
例新冠,1
例,1
定点医院,1
诊治,1
诊断,1
病情,1
稳定,1
11,1
父女关系,1
龚,1
时空,1
交集,1
核查,1
16591710,1
730812,1
路千惠,1
超市,1
8121157,1
11571408,1
14081424,1
14241628,1
16281645,1
1645,1
鹭岛,1
面包店,1
买,1
面包,1
750823,1
8231155,1
11551408,1
14081420,1
校门口,1
等待,1
1640,1
800826,1
8261155,1
11551400,1
14001420,1
上午,1
15001510,1
处,1
1521,1
老百姓,1
药房,1
新城,1
1526,1
好想你,1
1530,1
正门口,1
知花,1
知果,1
取,1
团购,1
物品,1
710,1
对面,1
书亦烧,1
仙草,1
小笼包,1
包子铺,1
包子,1
商场,1
中百,1
罗森,1
107,1
吃,1
晚餐,1
730,1
小卖部,1
茶,1
颜悦色,1
汽贸,1
大厦,1
店,1
大米,1
梓园,1
门口,1
进店,1
至蜜雪,1
冰城,1
地下商场,1
7ELEVEn,1
428,1
乘坐,1
116,1
公交车,1
下车,1
1448,1
珠江,1
郦城,1
1502,1
1540,1
捞刀河,1
滨水,1
市民,1
福元,1
199,1
15401610,1
12301400,1
罗森尼娜,1
蛋糕店,1
侯家塘,1
12301340,1
日均,1
区,1
二级,1
排查,1
追踪,1
次,1
消毒,1
朱延静,1
