名称,评分,图片地址,评论数,价格,标签,,,,,
离海200米】图房一致】高清投影】独特每客消杀】落地窗】全身镜】居大床、曾厝沙滩环岛路、厦大,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-28833347/original/065fbd81-507f-43de-a9ba-064540dfa61a.jpeg?aki_policy=large,242,￥145,"独立房间,  ・ 1室1卫1床",,,,,
【集美方特林家铺子】近机场火车站方特园博苑及集美大桥边上的床上及大厅高空全方位落地海景房度假复式公寓,4.7,https://z1.muscache.cn/im/pictures/f1f274ac-4886-48ab-945b-34084ef8b55d.jpg?aki_policy=large,7,￥196,"整套loft,  ・ 2室1.5卫4床",,,,,
有居(Udream)room6・止静 独栋绝佳位置 50米到沙坡尾 厦大中山路双子塔步行可达,4.9,https://z1.muscache.cn/im/pictures/43e0ca5c-08cd-41c9-91a1-5d73f7b7f3fe.jpg?aki_policy=large,126,￥298,"整套平房,  ・ 2室2卫2床",,,,,
【栎境・清雅大床房】免费行李寄送/送地图/1897年老别墅/近龙头路小吃街/无早/非厦门市游客需核酸,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-29292875/original/61c37714-0115-473e-ab34-8ffcba4bc5d4.jpeg?aki_policy=large,61,￥198,"独立房间,  ・ 1室1卫1床",,,,,
「客谈?」厦门设计师民宿 ? 豪华木质风格/免费和服汉服体验/步行到海边/近会展中心/出门美食街,4.7,https://z1.muscache.cn/im/pictures/caece1c6-ba70-4961-9a33-608c34a39f9f.jpg?aki_policy=large,8,￥146,"独立房间,  ・ 1室1卫1床",,,,,
room6「洛林」光线超级好 厦大沙坡尾近中山路环岛路日式北欧风投影带露台两居室,4.8,https://z1.muscache.cn/im/pictures/3c782de8-6111-483a-9588-e2951b8d624a.jpg?aki_policy=large,4,￥213,"整套普通公寓,  ・ 2室1卫2床",,,,,
离海50米【不象】曾厝正大门附近/闹中取静/轻奢简约风/交通便利/清新大床房,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-53987085/original/df2429e1-1c96-4910-a644-a25920c3a2b2.jpeg?aki_policy=large,3,￥96,"整套别墅,  ・ 1室1卫1床",,,,,
『海语诉』?海贝儿/brt10分钟到机场/滴滴10分钟到北站/Loft复式大客厅/躺在床上看日出,4.9,https://z1.muscache.cn/im/pictures/36b8595e-1606-4f30-8ba5-1c6c9df3f2e3.jpg?aki_policy=large,9,￥190,"整套loft,  ・ 2室2卫2床",,,,,
白色恋人/ins风/滑梯全海景复式公寓/顶层海景/近方特/近机场/近北站/投影仪/步行可到海边,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-40981183/original/937e2324-f895-4dc4-bc42-49515e962c8f.jpeg?aki_policy=large,29,￥289,"整套loft,  ・ 1室1.5卫1床",,,,,
【海景/山景露台】〖看日出 〗〖接机接站〗近曾厝/黄厝海滨/沙坡尾/环岛路/厦大/植物园,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50055629/original/c1268950-076e-4185-b9e8-7e344e7164c7.jpeg?aki_policy=large,22,￥258,"独立房间,  ・ 1室1卫1床",,,,,
世茂海峡双子塔无敌山海景高层两居室,4.7,https://z1.muscache.cn/im/pictures/af7a419a-c0a5-40ad-8a95-7e6637ae23be.jpg?aki_policy=large,25,￥588,"整套公寓型住宅,  ・ 2室1卫2床",,,,,
白书・曾厝A1｜景区内，7分钟海边环岛路／50米美食街／设计师民宿／近鼓浪屿中山路机场厦门大学,4.9,https://z1.muscache.cn/im/pictures/22401c0c-7df8-49fa-be77-6ef232101ac0.jpg?aki_policy=large,63,￥166,"精品酒店客房,  ・ 1室1卫1床",,,,,
【darlingの家2】繁华宝龙商圈附近带露台餐厅的舒适乐居/差旅途中的温馨港湾/独立卫浴，家庭影院,4.8,https://z1.muscache.cn/im/pictures/b59ccb62-4ddd-4597-a9fc-96ff77349abf.jpg?aki_policy=large,6,￥248,"整套公寓型住宅,  ・ 1室1卫1床",,,,,
日光岩百年历史别墅观景浴缸大床房,4.9,https://z1.muscache.cn/im/pictures/236392d7-fec9-4e7b-84dd-477647e623d7.jpg?aki_policy=large,29,￥169,"独立房间,  ・ 1室1.5卫1床",,,,,
来厦必打卡・曾厝〔南境特惠大床带小客厅〕泳池民宿，可戏水拍照打卡丨出门厦门环岛路海边,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-50018722/original/44d036da-ae42-4704-9a4d-8a51fef10eaa.jpeg?aki_policy=large,8,￥138,"客栈单间,  ・ 1室1.5卫1床",,,,,
简简单单的第三个房间。民宿备案号： 厦思民备0016号,4.7,https://z1.muscache.cn/im/pictures/d1b99208-bd0d-4c22-bfd2-9e90b22f8f14.jpg?aki_policy=large,16,￥99,"整套别墅,  ・ 1室1.5卫1床",,,,,
厦门市环岛路曾厝.厦大.沙坡尾.鼓浪屿设计师民宿room201,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50627871/original/85484e01-f5d2-41c2-9bf3-4525708ae943.jpeg?aki_policy=large,39,￥288,"独立房间,  ・ 1室1卫1床",,,,,
有居(Udream)room9・画日 两居室带阁楼 沙坡尾中山路厦大双子塔步行可达,4.9,https://z1.muscache.cn/im/pictures/e1fc818d-1c47-4148-ba9d-9f4fb4b847f7.jpg?aki_policy=large,100,￥298,"整套住宅,  ・ 2室1卫2床",,,,,
厦门曾厝美食街内（海边民宿）――有位佳人2.2米浪漫圆床房（近鼓浪屿、中山路）直达机场高铁站,4.7,https://z1.muscache.cn/im/pictures/dcaa19b4-f57a-46ad-9df0-ab62e55e723f.jpg?aki_policy=large,106,￥88,"客栈单间,  ・ 1室1卫1床",,,,,
udream.「莎港」 日落天台开放式厨房带浴缸吊床投影海景二居室,4.8,https://z1.muscache.cn/im/pictures/d5ef88b7-c239-41c5-8b7d-8e0bf6d7bcc1.jpg?aki_policy=large,3,￥306,"整套普通公寓,  ・ 2室1卫2床",,,,,
【月租3800】SHIYI COULEUR A| 中山路口INS摩洛哥风双BRT旁近厦大沙坡尾鼓浪屿,4.9,https://z1.muscache.cn/im/pictures/ef7d0c30-1f22-481a-ab78-c16bd5586a3d.jpg?aki_policy=large,78,￥268,"整套公寓型住宅,  ・ 1室1卫1床",,,,,
［Blue mood ］近厦门北/方特/机场ins全自动麻将机吊椅海景房,4.9,https://z1.muscache.cn/im/pictures/1c28964f-d710-4ae2-8b20-648c49b7265b.jpg?aki_policy=large,56,￥248,"整套loft,  ・ 1室1.5卫2床",,,,,
厦门曾厝美食街内（海边民宿）――两只老虎跑得快！双1.8米大床房(近鼓浪屿?中山路)直达机场高铁站,4.8,https://z1.muscache.cn/im/pictures/343a2343-e1d3-4cac-848c-40b05c92787e.jpg?aki_policy=large,130,￥128,"精品酒店客房,  ・ 2室1卫2床",,,,,
【古道西风】步行厦门站/loft现代三居室,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-44270353/original/a8671916-5696-42d1-a952-14fc4b017608.jpeg?aki_policy=large,9,￥388,"整套loft,  ・ 3室1卫3床",,,,,
近海滩曾厝安会展2房一厅Room2,4.8,https://z1.muscache.cn/im/pictures/f82efad2-1c76-45c0-aad2-cf22986c4fea.jpg?aki_policy=large,11,￥312,"独立房间,  ・ 2室2卫3床",,,,,
汐池设计｜汐水琴音大床?环岛路独栋独院/顶楼大露台山景??｜骷湃帐健民宿庭院?出入接送,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-49128592/original/12221a7b-9807-4fb2-857d-f7b17ef8c2a2.jpeg?aki_policy=large,112,￥169,"独立房间,  ・ 1室1卫1床",,,,,
「别舍Besure」【斑斓】可长租沙坡尾双人间带投影和网红霓虹灯下楼既是沙坡尾避风坞艺术西区双子塔,4.8,https://z1.muscache.cn/im/pictures/304b8cda-c8ff-4d4b-89dd-51203ceec592.jpg?aki_policy=large,37,￥258,"整套住宅,  ・ 1室1卫1床",,,,,
「可月租 」暖仓・「Grey」| 复式挑高大三房・高级轻奢・沙龙聚会・地铁口・宝龙一城,4.8,https://z1.muscache.cn/im/pictures/c99f5190-3c5c-43d2-99a2-2568b2093b68.jpg?aki_policy=large,25,￥609,"整套loft,  ・ 3室3卫3床",,,,,
沙坡尾《顾奈》落地飘窗海景阳台配投影/浴缸 临近厦门大学/猫街/南普陀 近/鼓浪屿/中华城/植物园,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-40495874/original/1a11bacb-4538-4961-839e-78a240caa4c6.jpeg?aki_policy=large,102,￥331,"整套公寓型住宅,  ・ 1室1.5卫1床",,,,,
【舒适投影大床】投影仪平层大床/近鼓浪屿轮渡/门口即厦门网红八市,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-44498451/original/b4aea0b9-2bfd-49aa-b4ad-907a420ac977.png?aki_policy=large,9,￥148,"精品酒店客房,  ・ 1室1卫1床",,,,,
兮语 北欧ins风大床房近华大厦门北站,4.9,https://z1.muscache.cn/im/pictures/49acb3df-2196-47bf-b858-88b0d5acb115.jpg?aki_policy=large,40,￥108,"酒店式公寓的房间,  ・ 1室1卫1床",,,,,
厦门环岛路曾厝.厦大.沙坡尾.鼓浪屿设计师民宿room402,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50623774/original/359d41fd-88f5-4d6a-93bd-f96f65bcf068.jpeg?aki_policy=large,19,￥358,"独立房间,  ・ 1室1卫1床",,,,,
厦门市环岛路曾厝.厦大.沙坡尾.鼓浪屿设计师民宿room305,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-50627247/original/d19e59a9-b1a9-4079-bab1-44eebbc434e7.jpeg?aki_policy=large,18,￥238,"独立房间,  ・ 1室1卫2床",,,,,
汐池设计｜双人大浴缸?｜大浴室｜环岛路独栋独院?/顶楼大露台山景??骷湃帐健民宿庭院?出入接送,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-49128112/original/f0968d77-a4af-4257-ba68-f270efa3f41c.jpeg?aki_policy=large,72,￥209,"独立房间,  ・ 1室1卫1床",,,,,
SHIYI HOUSE 3| 地铁口近宝龙一城会展家庭套房高层视野绝佳直达厦大中山路三天以上免费接机,4.8,https://z1.muscache.cn/im/pictures/c8a9edb0-61cd-4f99-88c1-a928e676f9b4.jpg?aki_policy=large,75,￥780,"整套公寓型住宅,  ・ 3室3卫3床",,,,,
月租1000?单人间  家中有猫 步行可到海边 曾厝 有机场大巴直达 近厦大上李水库植物园,4.7,https://z1.muscache.cn/im/pictures/dbc7551f-03e4-486f-ad4a-3b255b4295f2.jpg?aki_policy=large,34,￥54,"独立房间,  ・ 1室1卫1床",,,,,
『窗外一线海景Loft，看日出，步行沙滩』【海曰民宿】,4.7,https://z1.muscache.cn/im/pictures/8b461b07-79cd-413b-bba6-4179e3901f8b.jpg?aki_policy=large,26,￥248,"整套loft,  ・ 2室1卫2床",,,,,
"七禾・曾厝C1｜景区内,7分钟海边环岛路，INS风，可做饭，前卫设计师民宿，近机场中山路厦大植物园",4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-49204383/original/879a5839-ad3d-43ed-b734-c6e31af9e644.jpeg?aki_policy=large,8,￥117,"整套住宅,  ・ 1室1卫2床",,,,,
【步行中山路2分钟酒店】1.8m晚睡晚起大床，近思明电影院，步行7分钟到地铁站【点开头像更多房源】,4.8,https://z1.muscache.cn/im/pictures/b1904318-9cb6-4e7b-b00c-9c3d0b802599.jpg?aki_policy=large,5,￥146,"精品酒店客房,  ・ 1室1卫1床",,,,,
近厦门北/机场/北欧简约海景房,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-52930638/original/67c1e194-96b5-4e70-831e-67fc35a3003d.jpeg?aki_policy=large,40,￥210,"整套loft,  ・ 2室1卫2床",,,,,
?《Amoy设计》尊享浴缸大床房 在曾厝 紧邻环岛路 厦大 白城沙滩 点击头像查看更多房源,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-47320001/original/a7ae8667-c467-49b7-96cc-4a32e7ca98ef.jpeg?aki_policy=large,89,￥135,"独立房间,  ・ 单间1卫1床",,,,,
泡泡椅(投影仪)一线无遮挡海景房|莫兰迪灰色风格,4.8,https://z1.muscache.cn/im/pictures/9ca3ea7b-e08f-4093-90ae-b13f30b1bf5d.jpg?aki_policy=large,234,￥203,"整套loft,  ・ 1室1.5卫1床",,,,,
SHIYI ROOM A| 地铁口近宝龙一城会展 现代简约100寸投影大床房 直达厦大中山路曾厝,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-49478496/original/0be0b156-e95a-4a65-8888-ffed7068aca5.jpeg?aki_policy=large,16,￥298,"独立房间,  ・ 单间1卫1床",,,,,
【转角 驿站】厦门情侣空间/浪漫圆床/振动床/近海边/近方特/鼓浪屿/彩虹沙滩/集美大学,4.9,https://z1.muscache.cn/im/pictures/7a339c68-282f-48f2-95ee-321c6acd8ce3.jpg?aki_policy=large,20,￥150,"整套loft,  ・ 1室1卫1床",,,,,
【INS精致大床房】近公交地铁口 住中山路商圈 对面就是鼓浪屿 /厦门大学/曾厝/环岛路/双子塔,4.9,https://z1.muscache.cn/im/pictures/e0876113-745b-4ea8-a502-201873ea83ca.jpg?aki_policy=large,55,￥103,"酒店式公寓的房间,  ・ 1室1卫1床",,,,,
「别舍Besure」【叁柒】厦大附近投影独立一房一厅一花园大露台/感受老厦门烟火气默认两位一张床,4.9,https://z1.muscache.cn/im/pictures/d1fc3980-15b4-4a05-9c7f-bef02ea12b09.jpg?aki_policy=large,119,￥271,"整套住宅,  ・ 1室1卫2床",,,,,
【花开】环岛路ins风设计师海景民宿（近厦大学 鼓浪屿 曾厝 植物园 黄厝沙滩点击头像可看其他房源,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-40976946/original/aefc6283-1d98-4ede-ab34-87f51474e427.jpeg?aki_policy=large,73,￥219,"整套普通公寓,  ・ 1室1卫1床",,,,,
曾厝【青石】【五晚接机】双床『卷耳』2楼落地飘窗房┃近环岛路//厦门大学/钟鼓索道/鼓浪屿/植物园,4.8,https://z1.muscache.cn/im/pictures/289466f6-9b9b-465a-bdb7-c43e79607a58.jpg?aki_policy=large,80,￥133,"客栈单间,  ・ 1室1卫2床",,,,,
《蓝色随想》火车站/市中心/厦大/鼓浪屿/中山路/你南普陀近莲坂明发时尚两居室,4.7,https://z1.muscache.cn/im/pictures/30434bb5-50c2-411a-b2b2-4d70c5344780.jpg?aki_policy=large,16,￥466,"整套公寓型住宅,  ・ 2室1卫2床",,,,,
厦门市环岛路曾厝.厦大.沙坡尾.鼓浪屿设计师民宿room303,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50626528/original/214c0383-98ac-40e1-8f7b-de7333606b78.jpeg?aki_policy=large,24,￥288,"独立房间,  ・ 1室1卫2床",,,,,
厦门市环岛路曾厝.厦大.沙坡尾.鼓浪屿设计师民宿room204,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50628612/original/83149658-6914-49fc-a408-daec8f08a0ca.jpeg?aki_policy=large,26,￥258,"独立房间,  ・ 1室1卫2床",,,,,
<强烈推荐>1.5米和2米的家庭套房。近海边/厦门大学/曾厝/环岛路/中山路/鼓浪屿/南普陀,4.8,https://z1.muscache.cn/im/pictures/06e68426-6a34-4a1b-83d3-68e80ce953e7.jpg?aki_policy=large,236,￥299,"独立房间,  ・ 2室1.5卫2床",,,,,
【彼岸云海】可月租/近厦门站/开放厨房/楼下交通便利,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-51092761/original/355f4c54-5a45-438a-b0e3-2557583c5c1e.jpeg?aki_policy=large,8,￥472,"整套住宅,  ・ 3室1卫3床",,,,,
环岛路独栋别墅｜海景双床｜近曾厝安厦大会展｜步行可至沙滩｜点我头像下方有其他房源｜,4.8,https://z1.muscache.cn/im/pictures/0fc654f9-13ec-4d99-a801-23cdcd269918.jpg?aki_policy=large,224,￥233,"独立房间,  ・ 1室1卫2床",,,,,
【传世海景复式公寓】全景落地窗/海岛风民宿/地铁/机场/动车站/方特/鼓浪屿/BRT公交站,4.8,https://z1.muscache.cn/im/pictures/707a0d63-9dda-40e6-ad4a-09bcbf3de760.jpg?aki_policy=large,27,￥166,"整套公寓型住宅,  ・ 1室1卫2床",,,,,
??【格格美宿】设计大床，紧邻曾厝小吃街，厦门大学，胡里山炮台，沙坡尾猫街等众多网红景点，出行便利,4.8,https://z1.muscache.cn/im/pictures/31ed1da6-3608-4ab7-8d03-abeb2eb0f873.jpg?aki_policy=large,577,￥140,"独立房间,  ・ 1室1卫1床",,,,,
[月租可谈]宝龙一城/近会展/地铁口/后现代挑高复式大三房,4.7,https://z1.muscache.cn/im/pictures/30843d13-eaa4-40b9-86e6-2c7ecf94093e.jpg?aki_policy=large,16,￥560,"整套loft,  ・ 3室3卫3床",,,,,
ins轻奢大床房/中山路步行街/近鼓浪屿《栖禾》,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-53961262/original/c357397b-2e30-403a-bc0e-0b0ba07fef89.jpeg?aki_policy=large,3,￥169,"独立房间,  ・ 1室1卫1床",,,,,
离海50米【高清投影】曾厝正大门附近/闹中取静/轻奢简约风/交通便利【不象】阳光大床房,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-53987855/original/c4c6cc7f-0434-47ad-a79d-5d6edb00eee5.jpeg?aki_policy=large,5,￥125,"整套别墅,  ・ 1室1卫1床",,,,,
【INS私享大套房】近公交地铁口 住中山路商圈 对面就是鼓浪屿 /厦门大学/曾厝/环岛路/双子塔,4.8,https://z1.muscache.cn/im/pictures/d4021cd1-3b78-4f2f-afbf-bcc25bb07588.jpg?aki_policy=large,55,￥255,"酒店式公寓的房间,  ・ 1室1卫1床",,,,,
?【爱菲儿1930店】鼓浪屿老别墅鹭景精致大床房，含双早，送鼓浪屿手绘地图，近三丘田码头/海底世界,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-44675033/original/5c43110f-2708-4b6d-a501-d7352c7b6a4d.jpeg?aki_policy=large,58,￥217,"独立房间,  ・ 1室1卫1床",,,,,
【MYAH02】loft一线无遮挡海景房近厦门机场北站,4.7,https://z1.muscache.cn/im/pictures/e7c720dc-0357-4e46-9fdc-faba33ef58ab.jpg?aki_policy=large,38,￥229,"整套loft,  ・ 2室1卫2床",,,,,
udream花房店「锦瑟」 大榕树下/海边鼓浪屿/曼谷风/loft/投影/清水混搭/房车壁炉,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-49867874/original/48cb117f-bec6-45ee-b426-ffa21c93bf90.jpeg?aki_policy=large,11,￥120,"整套普通公寓,  ・ 1室1卫2床",,,,,
PlainWhite｜杏子〕市中心中山路步行街｜轮渡｜近各大景区｜投影房-BRT地铁公交直达,4.7,https://z1.muscache.cn/im/pictures/14fa4ed2-7523-48c8-8315-8bf839173cac.jpg?aki_policy=large,4,￥252,"酒店式公寓的房间,  ・ 单间1卫2床",,,,,
【仟宿可月租代订鼓浪屿船票】公区百平大露台榻榻米飘窗大床近厦大曾厝环岛路海边直达鼓浪屿中山路步行街,4.9,https://z1.muscache.cn/im/pictures/d8d0f439-538e-4d52-afc5-3639c174d681.jpg?aki_policy=large,70,￥90,"整套平房,  ・ 1室1卫1床",,,,,
天青屿山≡独层3室2厅-连住车接-近曾厝，独立厨房做饭，投影，浴缸，电梯，天台观海看日出，团建聚会,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-49432662/original/16bc94f8-37c7-4640-8b39-2b754b675356.jpeg?aki_policy=large,44,￥672,"整套公寓型住宅,  ・ 3室3卫4床",,,,,
日式私人露台榻榻米观影大床房-有和服-可穿拍照-,4.7,https://z1.muscache.cn/im/pictures/0c59aeab-fe83-4623-91e0-0eed13cfe0ef.jpg?aki_policy=large,25,￥188,"整套公寓型住宅,  ・ 单间1卫1床",,,,,
