https://search.douban.com/movie/subject_search?search_text=幸福还会来敲门,2020(中,幸福还会来敲门
https://search.douban.com/movie/subject_search?search_text=什刹海,2020-07-10,什刹海
https://search.douban.com/movie/subject_search?search_text=锦绣南歌,2020-07-01,锦绣南歌
https://search.douban.com/movie/subject_search?search_text=木棘^人,2020-12(,木棘^人
https://search.douban.com/movie/subject_search?search_text=传闻中的陈芊芊,2020-05-18,传闻中的陈芊芊
https://search.douban.com/movie/subject_search?search_text=北国英雄,2018-05-30,北国英雄
https://search.douban.com/movie/subject_search?search_text=幸福里的故事,未知,幸福里的故事
https://search.douban.com/movie/subject_search?search_text=越过山丘,2020-10-09,越过山丘
https://search.douban.com/movie/subject_search?search_text=抗美援朝保家卫国,2020-10-12,抗美援朝保家卫国
https://search.douban.com/movie/subject_search?search_text=亲爱的设计师,2020-10-26,亲爱的设计师
https://search.douban.com/movie/subject_search?search_text=蜗牛与黄鹂鸟,2020-06-21,蜗牛与黄鹂鸟
https://search.douban.com/movie/subject_search?search_text=凤归四时歌,2020-06-17,凤归四时歌
https://search.douban.com/movie/subject_search?search_text=少年游之一寸相思,2020-06-08,少年游之一寸相思
https://search.douban.com/movie/subject_search?search_text=摩天大楼,2020-08-19,摩天大楼
https://search.douban.com/movie/subject_search?search_text=时间倒数遇见你,2020-06-18,时间倒数遇见你
https://search.douban.com/movie/subject_search?search_text=你是我的命中注定,2020-06-05,你是我的命中注定
https://search.douban.com/movie/subject_search?search_text=月上重火,2020-05-28,月上重火
https://search.douban.com/movie/subject_search?search_text=酋长的男人,2020-05-28,酋长的男人
https://search.douban.com/movie/subject_search?search_text=非自然死亡,2018-01-12,非自然死亡
https://search.douban.com/movie/subject_search?search_text=报告老师！怪怪怪怪物！ 蟾胬！怪怪怪怪物！,2017-04-23,报告老师！怪怪怪怪物！ 蟾胬！怪怪怪怪物！
https://search.douban.com/movie/subject_search?search_text=亿万懦夫,未知,亿万懦夫
https://search.douban.com/movie/subject_search?search_text=老师・好,2019-03-22,老师・好
https://search.douban.com/movie/subject_search?search_text=我的女友是机器人,2020-09-11,我的女友是机器人
https://search.douban.com/movie/subject_search?search_text=为家而战 Fighting with My Family,2019-01-28,为家而战 Fighting with My Family
https://search.douban.com/movie/subject_search?search_text=生化危机 Resident Evil,2002-03-15,生化危机 Resident Evil
https://search.douban.com/movie/subject_search?search_text=生化危机2：启示录 Resident Evil: Apocalypse,2004-09-10,生化危机2：启示录 Resident Evil: Apocalypse
https://search.douban.com/movie/subject_search?search_text=生化危机3：灭绝 Resident Evil: Extinction,2007-09-21,生化危机3：灭绝 Resident Evil: Extinction
https://search.douban.com/movie/subject_search?search_text=生化危机4：战神再生 Resident Evil: Afterlife,2010-09-10,生化危机4：战神再生 Resident Evil: Afterlife
https://search.douban.com/movie/subject_search?search_text=生化危机5：惩罚 Resident Evil: Retribution,2012-09-14,生化危机5：惩罚 Resident Evil: Retribution
https://search.douban.com/movie/subject_search?search_text=生化危机：终章 Resident Evil: The Final Chapter,2016-12-23,生化危机：终章 Resident Evil: The Final Chapter
https://search.douban.com/movie/subject_search?search_text=女巫,2020-10-16,女巫
https://search.douban.com/movie/subject_search?search_text=潜伏,2010-09-14,潜伏
https://search.douban.com/movie/subject_search?search_text=潜伏2 Insidious: Chapter 2,2013-09-13,潜伏2 Insidious: Chapter 2
https://search.douban.com/movie/subject_search?search_text=潜伏3 Insidious: Chapter 3,2015-06-05,潜伏3 Insidious: Chapter 3
https://search.douban.com/movie/subject_search?search_text=潜伏4：锁命亡灵,2018-01-05,潜伏4：锁命亡灵
https://search.douban.com/movie/subject_search?search_text=招魂 The Conjuring,2013-06-08,招魂 The Conjuring
https://search.douban.com/movie/subject_search?search_text=招魂2,2016-06-10,招魂2
https://search.douban.com/movie/subject_search?search_text=终结者：黑暗命运,2019-11-01,终结者：黑暗命运
https://search.douban.com/movie/subject_search?search_text=钢铁侠,2008-04-30,钢铁侠
https://search.douban.com/movie/subject_search?search_text=安娜贝尔 Annabelle,2014-10-03,安娜贝尔 Annabelle
https://search.douban.com/movie/subject_search?search_text=安娜贝尔2：诞生,2017-08-11,安娜贝尔2：诞生
https://search.douban.com/movie/subject_search?search_text=安娜贝尔3：回家 Annabelle Comes Home,2019-06-26,安娜贝尔3：回家 Annabelle Comes Home
https://search.douban.com/movie/subject_search?search_text=复仇者联盟 The Avengers,2012-05-04,复仇者联盟 The Avengers
https://search.douban.com/movie/subject_search?search_text=复仇者联盟2：奥创纪元 Avengers: Age of Ultron,2015-05-01,复仇者联盟2：奥创纪元 Avengers: Age of Ultron
https://search.douban.com/movie/subject_search?search_text=复仇者联盟3：无限战争 Avengers: Infinity War,2018-04-23,复仇者联盟3：无限战争 Avengers: Infinity War
https://search.douban.com/movie/subject_search?search_text=复仇者联盟4：终局之战,2019-04-24,复仇者联盟4：终局之战
https://search.douban.com/movie/subject_search?search_text=幸福，触手可及！,2020-05-19,幸福，触手可及！
